data,hora,abertura,maximo,minimo,fechamento_atual,negocios,quantidade_papeis,<SPREAD>
2013/10/24,11:15:00,54745,54800,54655,54700,17720,4476,5
2013/10/24,11:30:00,54695,54775,54365,54415,59480,15190,5
2013/10/24,11:45:00,54425,54495,54285,54435,37750,9762,5
2013/10/24,12:00:00,54440,54460,54295,54405,21420,5504,5
2013/10/24,12:15:00,54400,54495,54345,54395,19490,5316,5
2013/10/24,12:30:00,54400,54425,54205,54250,27810,7385,5
2013/10/24,12:45:00,54250,54270,54085,54135,26610,7325,5
2013/10/24,13:00:00,54125,54145,53985,54045,32820,9242,5
2013/10/24,13:15:00,54050,54125,54025,54105,12890,3248,5
2013/10/24,13:30:00,54100,54175,54070,54100,13280,3550,5
2013/10/24,13:45:00,54105,54200,54055,54200,14490,3484,5
2013/10/24,14:00:00,54195,54200,53945,53980,22780,5823,5
2013/10/24,14:15:00,53980,54035,53750,53770,35320,9834,5
2013/10/24,14:30:00,53770,53860,53730,53800,24940,6295,5
2013/10/24,14:45:00,53790,53840,53655,53685,25450,7072,5
2013/10/24,15:00:00,53685,53765,53645,53675,19920,5304,5
2013/10/24,15:15:00,53670,53795,53585,53720,25440,6901,5
2013/10/24,15:30:00,53725,53845,53715,53785,19640,5304,5
2013/10/24,15:45:00,53785,53860,53775,53840,18410,4908,5
2013/10/24,16:00:00,53825,53930,53750,53805,30220,8121,5
2013/10/24,16:15:00,53805,53870,53745,53750,17590,4903,5
2013/10/24,16:30:00,53760,53790,53660,53765,20900,5884,5
2013/10/24,16:45:00,53770,53950,53765,53865,26250,7746,5
2013/10/24,17:00:00,53870,53970,53850,53930,20460,6126,5
2013/10/24,17:15:00,53935,54020,53885,53905,16560,5483,5
2013/10/24,17:30:00,53910,53910,53700,53710,13060,3680,5
2013/10/24,17:45:00,53710,53870,53640,53870,13230,4597,5
2013/10/25,09:00:00,53820,53920,53545,53560,14630,4027,5
2013/10/25,09:15:00,53550,53650,53505,53625,8980,2251,5
2013/10/25,09:30:00,53635,53675,53595,53650,9550,2472,5
2013/10/25,09:45:00,53655,53790,53650,53730,10350,2892,5
2013/10/25,10:00:00,53740,53745,53455,53515,17480,4514,5
2013/10/25,10:15:00,53500,53665,53470,53630,12370,3472,5
2013/10/25,10:30:00,53630,53870,53565,53830,24350,5912,5
2013/10/25,10:45:00,53820,53990,53790,53900,23920,6651,5
2013/10/25,11:00:00,53890,54055,53870,53930,25030,6167,5
2013/10/25,11:15:00,53925,53995,53835,53860,20540,5351,5
2013/10/25,11:30:00,53860,53885,53695,53695,36510,9167,5
2013/10/25,11:45:00,53705,53845,53600,53830,33310,8208,5
2013/10/25,12:00:00,53830,53950,53720,53825,31900,7902,5
2013/10/25,12:15:00,53830,53980,53770,53800,29110,7395,5
2013/10/25,12:30:00,53795,53845,53610,53635,25730,6274,5
2013/10/25,12:45:00,53635,53675,53535,53545,25660,7088,5
2013/10/25,13:00:00,53540,53635,53515,53595,13850,3169,5
2013/10/25,13:15:00,53590,53620,53405,53480,23050,6131,5
2013/10/25,13:30:00,53480,53605,53480,53555,11290,2792,5
2013/10/25,13:45:00,53555,53560,53445,53485,13190,3230,5
2013/10/25,14:00:00,53475,53590,53375,53435,21760,5606,5
2013/10/25,14:15:00,53430,53490,53355,53400,20040,5436,5
2013/10/25,14:30:00,53405,53595,53395,53570,21290,5562,5
2013/10/25,14:45:00,53570,53715,53535,53580,26310,6944,5
2013/10/25,15:00:00,53570,53750,53570,53695,16570,4197,5
2013/10/25,15:15:00,53690,53690,53420,53495,31190,7783,5
2013/10/25,15:30:00,53490,53490,53355,53450,23600,6208,5
2013/10/25,15:45:00,53450,53465,53270,53290,33470,9248,5
2013/10/25,16:00:00,53290,53350,53225,53280,28330,7532,5
2013/10/25,16:15:00,53280,53385,53240,53345,16600,4175,5
